"36","MM002","2","CENTRODYNE CORP OF AMERICA","75 ETHAN ALLEN DRIVE","SO. BURLINGTON","VT","5403","802-658-4715","Medallion Taxi Meter Shop"
"37","MM003","3","VERIFONE TRANSPORTATION SYSTEMS INC","36-15 13 STREET","LIC","NY","11106","718-752-1656","Medallion Taxi Meter Shop"
"38","MM004","4","PULSAR TECHNOLOGY SYSTEMS INC","27-20 42 ROAD","LIC","NY","11101","718-361-9292","Medallion Taxi Meter Shop"
"39","MP001","1","AMERICAN TAXIMETERS & COMMUNICATIONS INC","21-46 44 DRIVE","LIC","NY","11101","718-937-4600","Medallion Taxi Meter Shop"
"40","MP004","4","OLDEE TAXI INSTRUMENTS CORP.","43-05 VERNON BOULEVARD","LIC","NY","11101","718-482-6533","Medallion Taxi Meter Shop"
"41","MP008","8","C & B TAXIMETER","521 WEST   48 STREET","NEW YORK","NY","10036","212-664-9679","Medallion Taxi Meter Shop"
"42","MP009","9","DOWNTOWN TAXIMETER SHOP, INC.","609 WEST   47 STREET","NY","NY","10036","212-982-7584","Medallion Taxi Meter Shop"
"43","MP011","11","SAMIR TAXIMETERS CORP","631 BRUCKNER BOULEVARD","BRONX","NY","10455","718-401-0605","Medallion Taxi Meter Shop"
"44","MP016","16","METRO SHOP","37-03 21 STREET","LIC","NY","11101","718-786-8585","Medallion Taxi Meter Shop"
"45","MP028","28","MILLENIUM TAXIMETER CORP","48-02 VAN DAM STREET","LIC","NY","11101","718-255-5733","Medallion Taxi Meter Shop"
"46","MP029","29","521 WEST 21 STREET","415 WEST  127 STREET","NY","NY","10027","212-665-4900","Medallion Taxi Meter Shop"
"47","MP030","30","ABC TAXIMETER","10-02 46 AVENUE","LIC","NY","11101","718-361-9265","Medallion Taxi Meter Shop"
"48","MP031","31","TEAM SYSTEMS CORP","30-17 40 AVENUE","LIC","NY","11101","718-786-0640","Medallion Taxi Meter Shop"
"49","MP032","32","RUSS AUTOMOTIVE INC","519 WEST   47 STREET","NEW YORK","NY","10036","212-582-8877","Medallion Taxi Meter Shop"
"50","MP033","33","A1 METER & SECURITY, INC.","393 MCGUINNESS BOULEVARD","BROOKLYN","NY","11222","718-389-2753","Medallion Taxi Meter Shop"
"51","MP034","34","TRIZZ TAXIMETER REPAIR CORP.","520 WEST   44 STREET","NEW YORK","NY","10036","646-336-7625","Medallion Taxi Meter Shop"
"52","MP036","36","NEW STAR TAXIMETER INC","12-04 44 AVENUE","LIC.","NY","11101","718-482-1414","Medallion Taxi Meter Shop"
"53","MP038","38","OLYMPIC METERSHOP LLC","22-10 JACKSON AVENUE","LIC","NY","11101","718-361-3005","Medallion Taxi Meter Shop"
"54","MP039","39","DYNAMIC AUTO OF L.I.C. INC","37-46 9 STREET","LONG ISLAND CIT","NY","11101","718-706-1181","Medallion Taxi Meter Shop"
"56","A0002","2","ANN SERVICE CORP","142 WEST   21 STREET","NY","NY","10011","212-929-3676","Medallion Leasing Agent"
"57","A0003","3","CAB MANAGEMENT CORP","27-34 JACKSON AVENUE","LIC","NY","11101","718-937-8668","Medallion Leasing Agent"
"58","A0010","10","RONART LEASING CORP","25-11B 41 AVENUE","LIC","NY","11101","718-392-3013","Medallion Leasing Agent"
"59","A0011","11","J & I MAINTENANCE CORP","341 BERGEN STREET","BROOKLYN","NY","11217","718-858-3502","Medallion Leasing Agent"
"60","A0012","12","LINDEN MAINTENANCE CORP","134-02 33 AVENUE","FLUSHING","NY","11354","718-762-5252","Medallion Leasing Agent"
"61","A0013","13","TEAM SYSTEMS CORP","30-17 40 AVENUE LIC","LIC","NY","11101","718-786-0643","Medallion Leasing Agent"
"62","A0014","14","MIDTOWN OPERATING CORP","42-50 24 STREET","LIC","NY","11101","718-937-2080","Medallion Leasing Agent"
"63","A0015","15","55 STAN OPERATING CORP","45-16 VERNON BOULEVARD","LIC","NY","11101","718-786-5811","Medallion Leasing Agent"
"64","A0017","17","EAST WEST MANAGEMENT CORP","415 WEST  127 STREET","NEW YORK","NY","10027","212-665-4900","Medallion Leasing Agent"
"65","A0020","20","DOWNTOWN TAXI MANAGEMENT LLC","330 BUTLER STREET","BROOKLYN","NY","11217","718-435-0660","Medallion Leasing Agent"
"66","A0021","21","TUNNEL TAXI MANAGEMENT LLC","44-07 VERNON BOULEVARD","LIC","NY","11101","718-396-9020","Medallion Leasing Agent"
"67","A0100","100","DAV-ED OPERATING CORP","134-02 33 AVENUE","FLUSHING","NY","11354","718-762-5252","Medallion Leasing Agent"
"68","A0102","102","SUSAN MAINTENANCE CORP","374 4 AVENUE","BKLYN","NY","11215","718-222-4040","Medallion Leasing Agent"
"69","A0105","105","UTICA TAXI CENTER INC","465 UTICA AVENUE","BKLYN","NY","11203","718-774-9767","Medallion Leasing Agent"
"70","A0108","108","US AUTO SERVICE","319 10 AVENUE","NY","NY","10001","212-594-8087","Medallion Leasing Agent"
"71","A0110","110","WINNERS GARAGE INC","34-14 64 STREET","WOODSIDE","NY","11377","718-458-7000","Medallion Leasing Agent"
"72","A0113","113","CHECKER MANAGEMENT CORP","22-10 JACKSON AVENUE","LIC","NY","11101","718-361-6300","Medallion Leasing Agent"
"73","A0201","201","GREEN APPLE MANAGEMENT CORP","34-20 31 STREET","LIC","NY","11106","718-361-5555","Medallion Leasing Agent"
"74","A0202","202","ALL TAXI MANAGEMENT INC","41-25 36 STREET","LIC","NY","11101","718-361-0055","Medallion Leasing Agent"
"75","A0204","204","B. TAXI MANAGEMENT INC.","314 WEST   53 STREET","NY","NY","10019","212-957-0033","Medallion Leasing Agent"
"76","A0206","206","AJB TAXI MANAGEMENT INC","662 10 AVENUE","NY","NY","10036","212-956-3177","Medallion Leasing Agent"
"77","A0213","213","J T L MANAGEMENT INC","36-16 SKILLMAN AVENUE","LIC","NY","11101","718-392-7000","Medallion Leasing Agent"
"78","A0215","215","L & M MANAGEMENT II CORP","125 LEXINGTON AVENUE","NY","NY","10016","212-696-5656","Medallion Leasing Agent"
"79","A0217","217","MEDALLION MAINTENANCE CORP","46-02 VERNON BOULEVARD","LIC","NY","11101","718-472-9000","Medallion Leasing Agent"
"80","A0222","222","RADAS MANAGEMENT CORP","55-10 37 AVENUE","WOODSIDE","NY","11377","718-397-0504","Medallion Leasing Agent"
"81","A0224","224","S & R MEDALLION CORP","625 WEST   51 STREET","NEW YORK","NY","10019","212-957-9200","Medallion Leasing Agent"
"82","A0225","225","STYLE MANAGEMENT CO","514 WEST   44 STREET","NEW YORK","NY","10036","212-279-3166","Medallion Leasing Agent"
"83","A0232","232","WAILING MANAGEMENT INC","31-08 NORTHERN BOULEVARD","LIC","NY","11101","718-472-1800","Medallion Leasing Agent"
"84","A0234","234","WOODSIDE MANAGEMENT INC.","49-13 ROOSEVELT AVENUE","WOODSIDE","NY","11377","718-899-9369","Medallion Leasing Agent"
"85","A0236","236","D & J MANAGEMENT OF QUEENS INC","34-14 64 STREET","WOODSIDE","NY","11377","718-458-6609","Medallion Leasing Agent"
"86","A0246","246","28 STREET MANAGEMENT, INC.","313 10 AVENUE","NY","NY","10001","212-244-6553","Medallion Leasing Agent"
"87","A0248","248","TAXI WHEELS TO LEASE INC","41-25 36 STREET","LIC","NY","11101","718-361-0033","Medallion Leasing Agent"
"88","A0249","249","ON OUR WAY MANAGEMENT CORP.","6814 5 AVENUE","BKLYN","NY","11220","718-833-8125","Medallion Leasing Agent"
"89","A0253","253","QUEENS MEDALLION LEASING INC.","21-03 44 AVENUE","LIC","NY","11101","718-784-9292","Medallion Leasing Agent"
"90","A0255","255","KIM CAB LEASING","3864A FLATLANDS AVENUE OFF COLEMAN AVENUE","BROOKLYN","NY","11234","718-252-8300","Medallion Leasing Agent"
"91","A0257","257","ARGON MANAGEMENT CORP.","13-20 JACKSON AVENUE","LIC","NY","11101","718-482-0715","Medallion Leasing Agent"
"92","A0259","259","MC GUINNESS MANAGEMENT CORP","330 MC GUINNESS BOULEVARD","BKLYN","NY","11222","718-389-4483","Medallion Leasing Agent"
"93","A0262","262","CITY BEST MANAGEMENT INC.","370 WEST   51 STREET","NY","NY","10019","212-586-0031","Medallion Leasing Agent"
"94","A0263","263","STEINWAY EXPRESS MANAGEMENT CORP.","36-06 STEINWAY STREET","LIC","NY","11101","718-361-1647","Medallion Leasing Agent"
"95","A0267","267","2000 MANAGEMENT INC.","1817 CONEY ISLAND AVENUE","BKLYN","NY","11230","718-336-6565","Medallion Leasing Agent"
"96","A0268","268","BROOKLYN TAXI MANAGEMENT INC.","904 CORTELYOU ROAD","BKLYN","NY","11218","718-282-3500","Medallion Leasing Agent"
"97","A0272","272","MALCOLM MANAGEMENT CORP","374 FOURTH AVENUE","BROOKLYN","NY","11215","718-222-4040","Medallion Leasing Agent"
"98","A0275","275","AVENUE M MANAGEMENT CORP","1500 MCDONALD AVENUE","BROOKLYN","NY","11230","718-627-7097","Medallion Leasing Agent"
"99","A0280","280","EDDIE'S MANAGEMENT CORP","22-46 JACKSON AVENUE","LIC","NY","11101","718-707-3463","Medallion Leasing Agent"
"100","A0281","281","AWESOME TAXI MANAGEMENT INC.","520 WEST   44 STREET","NEW YORK","NY","10036","212-967-5477","Medallion Leasing Agent"
"101","A0282","282","YELLOW CAB SLS JET MANAGEMENT CORP.","22-05 43 AVENUE LIC","LIC","NY","11101","718-752-9097","Medallion Leasing Agent"
"102","A0289","289","BOULEVARD TAXI LEASING INC","32-56 49 STREET","LIC","NY","11103","718-932-3312","Medallion Leasing Agent"
"103","A0290","290","UNITED MANAGEMENT GROUP INC.","43-10 39 STREET","LIC","NY","11232","718-392-4600","Medallion Leasing Agent"
"104","A0292","292","CITY TRANSPORT MGMT","54-18 BROADWAY","WOODSIDE","NY","11377","718-507-4840","Medallion Leasing Agent"
"105","A0293","293","NYC TAXI NETWORK INC.","801 METROPOLITAN AVENUE","BROOKLYN","NY","11211","212-777-8757","Medallion Leasing Agent"
"106","A0294","294","HEATH MANAGEMENT CORP.","407 WEST   39 STREET","NEW YORK","NY","10018","212-245-8000","Medallion Leasing Agent"
"107","A0301","301","NAPASEI MANAGEMENT CORP.","607 WEST   47 STREET","NEW YORK","NY","10036","646-641-8307","Medallion Leasing Agent"
"108","A0304","304","FA  MANAGEMENT INC.","11-06 BROADWAY","ASTORIA","NY","11106","718-204-9241","Medallion Leasing Agent"
"109","A0307","307","TAXIFLEET MANAGEMENT LLC","54-11 QUEENS BOULEVARD","WOODSIDE","NY","11377","718-779-5000","Medallion Leasing Agent"
"110","A0308","308","TAXIFLEET MANAGEMENT LLC","3414 31 STREET","LIC","NY","11106","718-361-6363","Medallion Leasing Agent"
"111","A0309","309","MAG TAXI MANAGEMENT INC","37-25B 21 STREET","LIC","NY","11101","718-392-8294","Medallion Leasing Agent"
"112","A0310","310","CENTRAL BROOKLYN TAXI CORP.","380 FOURTH AVENUE","BROOKLYN","NY","11215","718-237-1707","Medallion Leasing Agent"
"113","A0312","312","GOTHAM YELLOW LLC","75 CANAL STREET WEST","BRONX","NY","10451","718-993-8100","Medallion Leasing Agent"
"114","A0313","313","NORTHWESTERN MANAGEMENT CORP.","35-11 43 AVENUE 2ND FLOOR","LIC","NY","11101","718-482-8181","Medallion Leasing Agent"
"115","A0314","314","L.I.C. TAXI MANAGEMENT INC.","29-15 38 AVENUE","LIC","NY","11101","718-799-6342","Medallion Leasing Agent"
"116","A0315","315","JAVA TAXI LEASING CORP.","521 WEST   48 STREET","NEW YORK CITY","NY","10036","212-767-0070","Medallion Leasing Agent"
"117","A0316","316","TRANSIT SYSTEMS LLC","54-11 QUEENS BOULEVARD","WOODSIDE","NY","11377","718-779-5000","Medallion Leasing Agent"
"118","A0317","317","TRANSIT SYSTEMS LLC","34-14 31 STREET","LIC","NY","11106","718-361-6363","Medallion Leasing Agent"
"119","A0318","318","AG MEDALLION MANAGEMENT CORP.","1263 MACDONALD AVENUE","BROOKLYN","NY","11230","718-253-3501","Medallion Leasing Agent"
"120","A0319","319","THE BRIDGE GROUP OF NYC INC.","35-11 43 AVENUE","LIC","NY","11101","718-729-7777","Medallion Leasing Agent"
"121","A0320","320","EXECUTIVE OWNERS HOLDING CORP","21-03 44 AVENUE","LIC","NY","11101","718-784-9292","Medallion Leasing Agent"
"122","A0321","321","TRANSIT SYSTEMS LLC","125 LEXINGTON AVENUE","NEW YORK","NY","10016","212-696-5656","Medallion Leasing Agent"
"123","A0322","322","NYC INTERBORO MANAGEMENT INC","36-02 21 STREET","LIC","NY","11106","718-392-0250","Medallion Leasing Agent"
